isoform_id	normalized_count
uc003suw.3	0.0000
uc003sux.1	0.0000
uc010kuh.2	0.0000
uc011jyi.1	0.0000
uc002vkc.1	468.5921
uc010fwe.1	143.3228
uc010zku.1	0.0000
uc004ebz.2	238.1744
uc004eca.2	159.2561
uc010nls.2	0.0000
uc010nlt.2	0.0000
uc011mqn.1	0.0000
uc003wii.2	14.9016
uc003wij.3	138.6089
uc003wik.3	809.9224
uc003wil.3	0.0000
uc003wim.3	70.2740
uc010lpw.1	42.6298
uc010lpx.2	0.0000
uc011kvd.1	0.0000
uc001udm.3	100.2652
uc001udo.3	0.0000
uc001udp.2	45.4566
uc001udq.2	0.0000
uc001udr.2	3.5305
uc009zxr.2	11.0473
uc010tai.1	63.2330
uc010taj.1	30.8748
uc003ouy.1	361.8256
uc003ouz.1	52.6775
uc010jyo.1	67.6911
uc002eff.1	0.0000
uc002efg.1	656.2880
uc002efh.1	20.3473
uc010cbg.1	206.4759
uc010vgk.1	1.7073
uc010vgl.1	0.0000
uc002eey.1	0.0000
uc002eez.1	0.0000
uc002efa.1	0.0000
uc002efb.1	2.3990
uc002efc.1	0.0000
uc002efd.1	0.0000
uc002efe.1	0.0000
uc010vgj.1	0.0000
uc002yjq.2	0.0000
uc002yjr.2	152.7228
uc002yjs.2	1189.6724
uc010gkx.2	108.9855
uc002del.3	1201.4114
uc010bvi.2	0.0000
uc010bvj.2	277.6136
uc010bvk.2	0.0040
uc010bvl.2	17.2846
uc010bvm.2	656.1720
uc010bvn.2	0.5997
uc001kqf.2	5.1978
uc002isk.3	10.3116
uc002isl.2	167.2526
uc002ism.2	2.9307
uc002isn.2	71.4015
uc001vmd.3	11.9229
uc001vme.2	0.0000
uc001vmf.2	0.0000
uc010afj.2	31.3026
uc010afk.2	0.0000
uc010afl.1	0.0000
uc010afm.1	0.0000
uc010tih.1	0.7557
uc003fmg.2	1054.0343
uc003fmh.2	279.7047
uc003fmi.3	20.3953
uc010hxl.2	642.0381
uc010hxm.2	20.6272
uc010hxn.2	18.8679
uc010hxo.2	300.2919
uc011bqt.1	206.1560
uc002dfg.2	1.5993
uc010vam.1	0.0000
uc002dcu.2	26.7886
uc002dem.2	8.8682
uc002den.3	14.8577
uc002deo.3	14.7337
uc010bvo.2	0.7277
uc010uzz.1	0.0000
uc001mnc.2	28.7877
uc010rcy.1	0.0000
uc001rfg.2	18.3962
uc001rfh.2	15.6933
uc001rfi.1	7.0930
uc001rfj.1	0.0000
uc001rfk.2	1.5993
uc001rfl.1	0.0000
uc004fif.2	329.8473
uc004fig.2	20.9990
uc004fih.2	96.5668
uc001rmb.2	2.7988
uc001dqm.3	2.0191
uc001dqn.3	2404.2742
uc001dqo.3	44.6170
uc009wdr.2	21.0950
uc010oto.1	51.3981
uc010otp.1	11.9149
uc001xpr.2	293.8466
uc001xps.2	0.0000
uc001xpt.2	502.4616
uc001xpu.2	0.0000
uc001xpv.2	14.1300
uc010tur.1	31.6065
uc003ijx.2	76.7952
uc003ijy.2	1228.2479
uc010iot.2	0.0000
uc003nqk.2	37.9798
uc003nql.2	1951.0156
uc003nqm.2	0.0000
uc010jsb.2	196.0723
uc003wjo.1	182.0103
uc003wjp.2	1460.8887
uc003fmz.2	1070.0714
uc003fna.2	0.0000
uc003fnb.2	315.7373
uc002zam.2	0.0000
uc002zan.2	0.0000
uc002zao.2	0.0000
uc002zap.2	583.5790
uc002zaq.2	484.8171
uc002zar.2	0.0000
uc010gpb.1	9.5439
uc011aev.1	0.0000
uc003hrf.2	0.0000
uc003hrg.2	0.0000
uc003hrh.2	22.6423
uc003hri.1	0.5478
uc003hrj.1	0.0000
uc003hrk.1	0.0000
uc001pvs.2	0.0000
uc001pvt.1	0.0000
uc009zar.2	2.3990
uc002rtm.2	1.1995
uc002rtn.2	0.0000
uc002rto.2	0.0000
uc002rtp.2	0.0000
uc002rtq.2	0.0000
uc010yoa.1	0.0000
uc003dyk.3	424.9427
uc011bhq.1	29.6633
uc003tza.2	0.0000
uc003tzb.2	1010.1170
uc003tzc.2	0.0000
uc003tzf.2	19.0719
uc011kfb.1	78.0667
uc011kfc.1	13.4663
uc001wyq.2	1.5993
uc001wyr.2	0.0000
uc001wys.2	0.0000
uc010any.2	0.0000
uc002wuq.2	83.8962
uc002wur.2	0.0000
uc002wus.1	3116.0185
uc002wut.1	0.0000
uc002wuu.1	51.5020
uc001vqq.2	315.4654
uc003dco.2	388.0984
uc010hlz.2	3.2186
uc003dcm.2	82.5808
uc003dcn.2	1017.8737
uc010hly.2	417.6418
uc011bdy.1	0.0000
uc011bdz.1	36.0406
uc002hed.1	383.8362
uc002rit.2	0.0000
uc002riu.2	11.6190
uc002riv.2	8.7723
uc002riw.2	1.1995
uc002bnj.2	0.0000
uc002bnk.2	6229.3421
uc010ups.1	0.0000
uc002ktk.2	67.0434
uc002ktl.2	421.9680
uc002ktm.2	0.0000
uc002ktn.2	2.1911
uc002kto.2	4.9139
uc010xao.1	3.6704
uc001wgm.2	1066.2011
uc010tmz.1	8.0686
uc010tna.1	8.7603
uc010tnb.1	55.6842
uc003cmx.2	770.0714
uc003djr.2	7.3209
uc003djs.3	37.8479
uc003djt.3	72.7809
uc002ngb.3	487.7919
uc001isx.2	0.0000
uc001isy.2	0.0000
uc001isz.2	582.2636
uc001ita.2	187.2241
uc001itb.2	0.0000
uc001itc.2	20.6952
uc001itd.2	0.0000
uc001ite.2	281.8877
uc010qdg.1	0.0000
uc010qdh.1	38.3916
uc010qdi.1	8.5124
uc010qdj.1	47.0679
uc010qdk.1	8.0486
uc002uzz.2	1063.3503
uc002vaa.2	0.0000
uc002vab.2	240.9612
uc002vac.2	0.0000
uc010zig.1	10.6235
uc010zih.1	0.0000
uc010zii.1	1.6753
uc010zij.1	15.6333
uc010zik.1	0.0000
uc010zil.1	0.0000
uc010zim.1	22.2505
uc010zin.1	6.1254
uc003duj.2	16.2571
uc003duk.2	10.9513
uc003dul.2	0.2079
uc003dum.2	26.7806
uc003dun.2	7.6687
uc003duo.2	1.3034
uc003dup.3	0.0000
uc011bhd.1	0.0000
uc002iop.1	173.8778
uc002ioq.1	11.6430
uc004bzv.2	571.6361
uc004bzw.2	3050.0187
uc001gmg.3	0.0000
uc001gmh.3	149.5322
uc001gmi.3	0.0000
uc001gmj.3	0.0000
uc001gmk.2	0.6597
uc009wxe.2	0.0000
uc009wxf.1	0.0000
uc010pne.1	438.6249
uc010pnf.1	0.0000
uc010png.1	0.0000
uc010pnh.1	14.5258
uc001lbz.1	0.0000
uc009xyn.2	0.0000
uc009xyo.2	0.0000
uc009xyp.2	0.0000
uc010qsf.1	1462.6040
uc010qsg.1	160.9233
uc010qsh.1	0.0000
uc010qsi.1	2.0151
uc010qsj.1	0.6677
uc010qsk.1	1.0955
uc003gki.2	20.1514
uc003gkj.3	0.0000
uc003gkk.2	0.0000
uc003gkl.2	0.0000
uc003gkm.3	13.2064
uc003gko.2	0.0000
uc003gkp.2	0.0000
uc003gkq.2	0.0000
uc003gkr.2	15.6853
uc003gks.3	26.1209
uc011bwl.1	0.0000
uc003lpy.2	36.6444
uc003lpz.1	0.0000
uc003lqa.1	0.0000
uc003lqb.2	5.4137
uc003lqc.1	0.0000
uc003lqd.1	84.4200
uc003lqe.1	152.1991
uc003lqf.2	8.7962
uc004cda.1	0.0000
uc010naf.1	0.0000
uc010nag.1	0.0000
uc011mcz.1	1.1995
uc003why.1	0.0000
uc003whz.1	2.7988
uc003wia.1	0.0000
uc003ymm.3	0.3998
uc002fsd.2	38.6675
uc002fse.2	0.0000
uc002fsf.2	43.6614
uc002fsg.2	450.5718
uc002fsh.1	0.0000
uc010cjq.1	4.3941
uc010vqf.1	384.4000
uc010vqg.1	100.2692
uc003nii.2	732.8873
uc003ejr.2	52.2137
uc003ejs.2	0.0000
uc003ejt.2	237.2388
uc003eju.2	13.4263
uc010hsm.2	17.7884
uc001mvl.1	128.7451
uc003cht.2	1097.7396
uc003chu.2	97.4184
uc003chv.2	88.6942
uc010hgy.2	0.0000
uc010hgz.2	0.0000
uc002ldw.3	574.9547
uc002ldx.3	556.9624
uc002hnk.2	0.0000
uc002hnl.2	0.0000
uc002hnm.2	204.6847
uc002hnn.2	7.5928
uc002hno.2	248.6179
uc002hnp.1	17.3166
uc002hnq.2	0.0000
uc002hnr.1	0.0000
uc010cuy.2	173.1701
uc010cuz.2	0.0000
uc010wdb.1	1093.9772
uc010wdc.1	160.6315
uc001tob.2	0.0000
uc001toc.2	40.9625
uc001tod.2	0.0000
uc010sxl.1	0.0000
uc010sxm.1	105.7749
uc001tso.3	0.6757
uc001tsp.2	9.3760
uc001tsq.2	270.7765
uc001tsr.2	0.5118
uc001tss.1	7.3209
uc009zvw.2	0.0000
uc009zvx.2	50.7903
uc003eov.3	289.5645
uc003eoy.2	0.0000
uc011blr.1	40.2268
uc001qhk.2	205.4443
uc001qhl.2	30.1591
uc009zdc.2	6.0854
uc009zde.1	23.3220
uc010sco.1	3.6305
uc010scp.1	1.3154
uc010scq.1	8.3284
uc010scr.1	0.0000
uc003ela.3	788.8034
uc003elb.2	55.6563
uc003elc.1	0.0000
uc003eld.1	3.2666
uc003ele.2	206.1520
uc010hsw.1	24.1097
uc011bks.1	118.9932
uc002vdz.3	0.7997
uc010zjg.1	0.0000
uc001dgw.3	580.9561
uc001dgx.3	129.4128
uc009wbp.2	7.4248
uc009wbr.2	0.0000
uc009wbs.1	0.0000
uc010orc.1	0.0000
uc010ord.1	3.9303
uc010ore.1	106.8904
uc010orf.1	0.0000
uc010org.1	31.8184
uc001lhb.2	1174.3429
uc010qub.1	311.0233
uc001tza.3	249.0937
uc001tzb.3	0.0000
uc010szl.1	0.0000
uc002gev.2	878.4652
uc002gew.2	0.0000
uc002gex.2	385.7074
uc010vtp.1	2857.9406
uc010vtq.1	525.8876
uc002bmx.2	0.0000
uc002bna.2	0.0000
uc010upo.1	0.0000
uc010upp.1	14.7937
uc002ggd.2	66.7715
uc003fun.3	720.4926
uc003fuo.2	0.0000
uc001ady.2	462.0389
uc001aea.2	380.2538
uc001aeb.2	878.9450
uc001aec.1	96.2070
uc001pjw.1	1.7433
uc001pjx.2	3.0427
uc001pjy.2	531.3813
uc010kjy.2	377.4470
uc011efw.1	6.1134
uc001hpy.2	1459.3773
uc002iic.2	28.3479
uc002iid.2	31.4066
uc002iie.2	92.5245
uc002iif.2	72.3411
uc010dae.2	28.3199
uc010wjj.1	6.1494
uc001ito.2	0.0000
uc001itp.2	0.0000
uc001itq.2	0.0000
uc001itr.1	28.8597
uc010qdm.1	438.3210
uc010qdn.1	48.8991
uc010qdo.1	1.7153
uc010qdp.1	219.8942
uc001gog.2	1022.3638
uc001inv.2	181.9224
uc010qby.1	0.0000
uc002hht.2	0.0000
uc002hhu.2	0.0000
uc001rvv.2	0.0000
uc001rvw.2	15.7813
uc009zln.2	0.0000
uc009zlo.2	39.3952
uc003win.2	17.1367
uc003wio.2	12.0908
uc003wip.2	0.0000
uc003wiq.2	4.3581
uc002vly.1	0.0000
uc002vlz.2	0.0000
uc002vma.2	0.0000
uc002vmb.2	3.0827
uc010fwi.1	0.0000
uc010fwj.1	0.9156
uc003ipe.1	0.0000
uc001mxw.1	0.3998
uc009ykr.2	0.0000
uc001mxx.2	210.4182
uc009yks.1	62.6573
uc010rfm.1	148.5806
uc010rfn.1	4.1622
uc002etp.3	0.0000
uc002etq.3	301.2835
uc002etr.3	0.0000
uc010vjt.1	22.5784
uc004cxa.1	0.3998
uc004cxb.2	0.0000
uc002mel.2	0.0000
uc003znx.1	1.0036
uc003zny.1	70.2300
uc003znz.1	5.1338
uc001oxu.2	0.0000
uc009yul.1	0.0000
uc009yum.1	225.1319
uc009yun.1	8.2965
uc009yuo.1	0.0000
uc010rsg.1	1.9592
uc010rsh.1	0.0000
uc010rsi.1	23.7019
uc010rsj.1	0.0000
uc002jau.1	90.8053
uc002jav.1	58.7070
uc002jaw.1	0.0000
uc010ddu.1	0.0000
uc010ddv.1	5.4217
uc010wph.1	0.0000
uc010wpi.1	2.5189
uc010wpj.1	2.8828
uc010wpk.1	0.0000
uc003uxd.2	0.0000
uc003uxe.2	5.1458
uc003uxf.2	0.0000
uc003uxg.2	0.0040
uc003uxh.2	0.0000
uc003uxi.2	0.8476
uc003uxj.1	0.0000
uc001wio.3	1048.3927
uc001wip.3	233.1845
uc001wiq.3	277.2657
uc001wir.3	1335.9180
uc001wis.3	1194.7782
uc001wit.3	456.9850
uc010akg.2	41.1584
uc010tnj.1	121.9080
uc002hyg.2	1168.8253
uc002hyh.2	0.0000
uc002hyi.2	1468.5334
uc010wfx.1	0.0000
uc010wfy.1	1282.5688
uc002ttz.2	9.9957
uc002tua.2	0.0000
uc003uoo.3	21.1910
uc003zqw.3	544.6476
uc003zqx.3	13.7541
uc003zqy.3	2.5549
uc010mjh.1	0.0000
uc003bac.2	4041.4397
uc003bad.2	23.0022
uc001cxj.1	7.0410
uc001cxk.2	0.0000
uc001cxl.1	50.6264
uc001cxm.1	0.0000
uc003khl.3	0.0000
uc003khm.2	0.0000
uc003nek.2	584.6905
uc010jpv.2	7.4368
uc001xol.1	1309.4413
uc010tuc.1	0.0000
uc001xom.2	147.5570
uc001xon.3	790.8426
uc001xoo.2	606.1414
uc001xop.2	2.7988
uc001amq.2	262.9198
uc001amr.2	0.0000
uc001ams.2	87.8705
uc001amt.2	348.3394
uc001amu.2	0.0000
uc001amv.2	0.0000
uc010nzq.1	283.6550
uc002xqa.1	529.5221
uc002xqc.1	54.9206
uc010zxe.1	0.0000
uc010zxf.1	0.0000
uc004dan.2	36.0366
uc004dao.2	53.9050
uc004dap.2	260.7048
uc004daq.2	0.0000
uc004dar.2	17.5085
uc004das.2	0.0000
uc004dat.1	0.0000
uc011mjt.1	28.8757
uc002jqe.2	738.4369
uc002jqf.2	257.1143
uc010wsq.1	0.0000
uc010wsr.1	17.8524
uc003dkl.2	724.4909
uc003glc.3	0.0000
uc003gld.3	202.0418
uc003gle.1	1.1595
uc010idk.2	626.4447
uc002tgr.3	0.0000
uc010fkc.2	0.0000
uc010yxk.1	1.9991
uc002qwd.2	2.8388
uc002qwe.3	7.4728
uc002qwf.2	1393.5054
uc002qwg.2	531.2413
uc002qwh.2	204.0289
uc001nei.2	2140.1469
uc009ylj.2	47.7396
uc009ylk.2	0.0000
uc010rhe.1	0.0000
uc010rhf.1	37.0362
uc010rhg.1	0.0000
uc010rhh.1	11.4591
uc010rhi.1	0.0000
uc010rhj.1	3.8584
uc002msg.3	578.9370
uc002msh.3	151.2035
uc002msi.3	178.0960
uc002msj.3	226.8312
uc010dye.1	21.2389
uc001epr.2	418.8733
uc009wjj.1	63.7208
uc003etu.2	14.1180
uc003etv.2	185.5728
uc011bna.1	15.0176
uc011bnb.1	0.0000
uc003eon.3	0.0000
uc003eop.3	17.0167
uc010htp.2	30.9628
uc002pta.1	0.0000
uc001qpt.1	0.0000
uc001qpu.1	23.1901
uc010sfg.1	0.0000
uc004eae.2	17.9923
uc001qck.2	0.0000
uc001qcl.2	0.0000
uc001qcm.2	0.0000
uc001qcn.2	0.0000
uc001qco.2	0.0000
uc001qcp.2	0.0000
uc001qcq.2	0.0000
uc001qcr.2	2.7988
uc001qcs.2	0.0000
uc003bnh.3	1.1995
uc010hbh.1	0.0000
uc002bdh.2	0.0000
uc010umw.1	0.0000
uc010umx.1	1.5993
uc010umy.1	0.0000
uc002mee.1	1.9991
uc002mef.1	0.0000
uc002meg.1	0.0000
uc002meh.1	0.0000
uc002mei.1	0.0000
uc010xiz.1	0.0000
